g2-xl6-p1-t1,g2-xl5-p1-t1,g2-xl4-p1,g2-xl4-p1-t1,g2-xl3-p1,g2-xl3-p1-t1,g2-xl2-p1,g2-xl2-p1-t1,g2-xl1-xl1-xl1-p1-t6,g2-xl1-xl1-xl1-p1-t3,g2-xl1-xl1-p1-t6,g2-xl1-xl1-p1-t3,g2-xl1-p2-t6,g2-xl1-p2-t5,g2-xl1-p2-t4,g2-xl1-p2-t3,g2-xl1-p2-t2,g2-xl1-p2-t1,g2-xl1-p1,g2-xl1-p1-t6,g2-xl1-p1-t5,g2-xl1-p1-t4,g2-xl1-p1-t3,g2-xl1-p1-t2,g2-xl1-p1-t1,g2-m4-p1,g2-m4-p1-t1,g2-m3-p1,g2-m3-p1-t1,g2-m2-p1,g2-m2-p1-t1,g2-m1-p1,g2-m1-p1-t4,g2-m1-p1-t3,g2-m1-p1-t2,g2-m1-p1-t1,g2-m1-m1-p1-t1,g2-m1-m1-m1-p1-t1,g2-l4-p1,g2-l4-p1-t1,g2-l3-p1,g2-l3-p1-t1,g2-l2-p1,g2-l2-p1-t1,g2-l1-p1,g2-l1-p1-t4,g2-l1-p1-t3,g2-l1-p1-t2,g2-l1-p1-t1,g2-l1-l1-p1-t1,g2-l1-l1-l1-p1-t1,g1-xl4-p5,g1-xl4-p4,g1-xl4-p3,g1-xl4-p2,g1-xl4-p10,g1-xl4-p1,g1-xl3-p5,g1-xl3-p4,g1-xl3-p3,g1-xl3-p2,g1-xl3-p10,g1-xl3-p1,g1-xl2-p5,g1-xl2-p4,g1-xl2-p3,g1-xl2-p2,g1-xl2-p10,g1-xl2-p1,g1-m4-p5,g1-m4-p4,g1-m4-p3,g1-m4-p2,g1-m4-p10,g1-m4-p1,g1-m3-p5,g1-m3-p4,g1-m3-p3,g1-m3-p2,g1-m3-p10,g1-m3-p1,g1-m2-p5,g1-m2-p4,g1-m2-p3,g1-m2-p2,g1-m2-p10,g1-m2-p1,g1-l4-p5,g1-l4-p4,g1-l4-p3,g1-l4-p2,g1-l4-p10,g1-l4-p1,g1-l3-p5,g1-l3-p4,g1-l3-p3,g1-l3-p2,g1-l3-p10,g1-l3-p1,g1-l2-p5,g1-l2-p4,g1-l2-p3,g1-l2-p2,g1-l2-p10,g1-l2-p1
1.0859606214848663,1.6300505996149741,3.1493449085440672,1.0863892706666831,3.1449585061877903,0.8168319882468933,1.0760335669875452,1.0865163763175874,0.8168637929315794,130.37635581121094,1.0851605432952556,0.3877879249093674,0.4695800912549329,0.46949806520554005,0.4695457983244613,0.46930807131334734,0.46929133841120524,0.4693082746042496,0.8154836221095169,1.0854820395128069,0.8177442575030853,1.0838784119027156,1.0853003145299298,1.0846316962243976,1.0845207870728542,3.1295588479331156,0.8071737307021387,1.0464173261160012,0.8035038043282132,1.0427249640763414,0.8122912975399398,0.8120447215440857,0.8117962595052826,0.8129476943600068,0.811189380178553,1.0683285471591446,3.156880647086231,1.077657345055093,0.7733920742968813,1.076438775360002,1.0146923886154509,0.810656578795776,3.1377529457955697,1.5856880113174827,1.0698098089660546,0.8118032747609012,1.0735725391153705,1.0580750868043454,1.0845207870728542,0.19324002641909313,1.0738335612875898,86.66625051381101,94.36245104809223,0.3227349978588817,0.8040346723582592,43.795203489302104,1.0325202825677675,127.40992040717548,109.44822303738793,0.46817898754613596,0.5441548642106678,46.11140615510518,3.1471826810882133,96.3167491354759,110.39562669455458,0.363993882928467,0.6537547839209147,44.01799602364407,1.5981118576884523,65.959264028497,64.44763458373026,0.3140389459902223,1.6018376666151521,43.58016505830316,0.9437003204892117,71.21007148518311,73.40074501921744,0.30490888585220566,0.7600366439507228,44.2695114404141,1.515035894957803,73.24759237459494,89.07014639173448,0.3240856030443033,0.4640748788529658,42.168930553048604,3.1389352934255252,49.198456181816816,83.3599190996255,0.30896248106664664,0.45222159793131633,36.80753228130849,1.427141990920651,78.06848665026978,91.86700166998642,0.3061755115701657,0.5871439585896642,40.665283641041704,0.8073241551777355,73.8996677523348,92.43376640790765,0.4627458250546523,0.4635593485899632,41.799357782597816,3.125217925353415
50.66845102419586,30.675959306510816,0.7971419457613302,45.12931508174128,0.800256457226511,2.7998195072091137,15.052057759477915,39.97976410370141,58.229080916627424,92.47973082814973,0.19341410856576793,200.50576296192864,88.29689618524152,84.68889254242667,81.74787854659324,82.99874969576913,82.00060535211198,82.988852829401,38.01199900482035,50.69597534888062,50.26840664457317,39.98901243294748,42.34887049682756,36.28832695340347,42.28398351371781,0.7057338248646119,0.3549410364531752,12.37505448344255,0.4592897401078665,28.77556528341359,33.731212655442796,26.905998889276564,45.71810710943959,35.94151806300554,39.65207378229541,43.70748124434962,0.6453782739930088,30.69248778224764,19.623433779735667,33.64218577314423,15.57207732196609,44.09889801511744,0.639510820676251,3.2272704649353043,26.629646817298205,47.150262790708986,42.46211559354824,38.38595307503955,42.28398351371781,160.11847907755615,0.5359247952512818,84.18625902943292,106.65697942659651,69.87862030809748,26.38494436807747,42.14680572252201,32.686400175703106,111.85267228851824,105.5520038185532,51.701776847322876,51.26167233851116,44.70572480236522,0.8045059729503877,90.2372269216231,109.9634237527588,75.45038084032717,46.714572266787954,44.0095680244247,0.6462845411943324,63.95064783197681,70.48241549154665,47.38151976081593,0.37271020514447517,40.13851708847138,16.52667614040681,68.00424527609046,73.47025633891788,45.77764694857426,17.999951410877674,42.756419517239024,0.5675907900845188,80.32128027192425,99.02598138906767,56.40311856687011,52.18734521772322,42.83442342032137,0.6374713033129021,66.84120960410402,65.55621061078162,63.843382585313144,52.70811970018504,43.190426529173266,0.5614186617964848,72.0285925103344,65.04172089360941,55.05782254727278,31.806665010316618,41.270947314981186,21.210780636398386,81.80960436532679,101.47136667133053,41.771535650775554,56.08546906294008,42.84093979686832,0.7977804458782118
122.42959320089176,21.48108453418409,53.10993940287352,77.02208582702012,54.878388443712595,107.74577737311441,89.38502580657148,130.5075929251342,121.9862403485454,69.4058546461722,184.96443452654128,189.33190933293434,139.1088654608083,135.03156795197424,133.82795270942546,134.81119630746312,135.096350969288,135.0423439009737,99.61416513118971,115.10951363648374,116.1175719789588,104.11482106032435,109.96651003997432,103.42273468368148,111.48597203320891,35.07333864204893,86.56071758585868,48.18204253571194,95.3938608415605,76.22831894717285,93.68024263749813,80.77490802199249,104.1251879574939,96.75556924848838,98.13485189127424,104.86146701566922,74.33723929897587,99.97831898359539,56.64619122404728,100.2415386063969,56.832992399302576,30.898778523101324,44.88629705032471,132.83482489867646,85.31253149695297,108.32227123025973,106.21287467748425,99.81011649655515,111.48597203320891,187.14308832937522,83.79103940985941,87.99065360419375,101.4212711222029,86.64656847653524,102.00624976848448,43.59831618889279,83.32032564182941,116.15708107890707,111.4191617857142,89.58815375641304,113.71485882596018,44.645010092722615,42.14365461924825,91.34455931896332,110.05613404676684,101.08658943588316,108.40475677544528,44.22964882533515,76.26572825035576,79.29393222835192,71.00236988937552,86.68612495125373,52.02920600064839,43.86764325143478,45.4830895198712,83.18130516134664,79.58251961337055,79.75206579191475,68.54058460811365,44.22863472833498,45.10354088673361,82.79321710371194,101.53331021697127,82.4032098672225,97.63547897424753,43.5134615800424,49.28976486410326,68.19111991765934,86.5048458719909,42.78953208091373,69.28830999296135,42.252236087521574,53.85446749250048,84.08421425479975,84.6603091885223,71.11483112092314,81.03935459210429,43.29381793377254,56.41643611896572,83.31917013076415,102.98451039648681,77.84340040952686,95.45763393062123,43.49854278679733,42.601056687324245
118.21869621563434,22.045252118172357,93.9838102461329,59.29052953855411,103.1810805755591,155.93265815527496,119.49430268103283,148.85365755083563,164.49612398915954,158.2215468155233,192.59260092993452,195.0706393801976,169.69953714865122,165.42278810010325,164.77710347853548,166.13076729998573,166.0901772915138,165.1392444158043,132.99022106324236,148.8184373027367,151.0405423332414,138.58763353668698,144.8759029334017,140.41983285791972,147.91446502252037,54.84387410821916,127.81046397462592,72.94433502166694,73.47586489993377,102.62988340431515,128.21643670536733,110.15202442440247,135.8748932648846,128.4044248277004,129.44678462983555,139.45714549987184,101.6261916093494,85.50465182179718,51.25983309494142,101.73981890053275,70.9571230649462,128.23708908212845,81.67219984821006,125.93018297233645,112.27680464841109,143.2378963054176,141.20928240427997,133.72907084844465,147.91446502252037,148.06162138859543,66.86000215336041,85.46602503770349,107.85367840528818,108.36335123170967,119.58447370190102,43.62584830937533,124.77284545628704,111.79230115707318,108.72346838769607,100.65300924424409,132.57197164955164,44.473977138541116,88.3517831057467,89.60251646446908,110.05450052868005,111.62911935217838,134.5394431049272,43.850377957685446,116.17449038603,77.59272160603275,89.95245629501997,62.3234648033043,71.04637508441355,42.39087651947199,41.57258464420774,77.9036691656596,91.99378332911131,89.14729337299511,86.86238504584131,42.935035140211106,70.61738615112155,84.14735377279584,105.34985118559985,100.33778261842913,110.0054377804717,43.789647792193314,86.63266644735907,78.72534102556443,86.16100831857356,66.33727696806336,96.90932120655991,43.8346900223606,72.84302001945062,81.75029260077206,83.45350985043784,98.38557681482287,91.47438057617963,42.63253497587163,83.02896464840323,84.52696819869622,106.25217162411036,91.98954857049583,117.53583533326005,43.74792503520617,76.7002699978999
96.18108598082101,156.1846153784015,136.56182832783136,134.41650000403223,125.93765978996522,126.77085310020217,148.22944725020722,168.98141479378214,146.12016988156665,131.85969227059533,191.321463651722,203.4973691362152,182.5447773063888,178.46228809310475,177.49480800328817,180.10294801492088,179.21772618376525,178.9199872825441,152.79363880858173,170.6092870454271,162.45084613800836,160.8131855892142,168.2053163846697,162.30471806062252,170.20988751035313,81.61449649475321,126.67964988525948,80.61556167008528,119.2054412159358,114.15518326869358,146.29809211562562,128.00228734203637,155.0811490317939,148.0876620042893,148.23503800195934,158.4596853375384,148.55989069759386,145.68658513239714,70.33501317419248,82.67403331135779,89.31046634533958,156.7759492636453,103.98345584613875,135.3738259925797,130.61513893019503,163.67234485626753,162.18443663447277,153.9319667101614,170.20988751035313,197.04603413034613,163.4581573231747,88.77135586642626,105.6117221757893,111.76190972483562,152.50695739077293,44.222740492842384,132.25697033353453,112.47347712558727,109.57599810114382,113.10307660203486,150.7289145590614,44.65235805668673,129.46926158530266,90.53725032338976,110.23315032657405,119.99125952228088,156.67402244229416,44.15897331642843,139.5974932852109,85.13190718359132,87.62418350514551,81.23020977061132,88.71119002137283,44.09938201307748,61.869823936464186,83.02494721547868,90.47464797330883,106.30487729152343,100.19254487010133,44.62648165990329,91.17760491911346,84.97449657367669,105.71949030857499,107.10521654727518,123.90428831669979,43.83724084187331,105.75922392830007,75.85540940958677,94.78572412435483,75.33577832074451,73.63551410055422,42.64481401201438,86.51087850897662,85.58863504166457,90.16877763480588,101.85494315105593,102.55541390276488,44.15510881215197,93.55400378062707,85.17045133116002,106.29975338112553,106.55271860695571,126.68151798294639,43.7423255028333,105.40709951610728
165.12084233020988,181.3693037980068,137.88359322184763,179.70866769963175,133.3837382620329,167.48964361261443,155.18538002947858,180.9179935326985,195.4200870175537,115.70384538362345,199.2038453244598,203.20630649809794,195.27232268190795,192.394483625424,191.48279296905497,193.94512709154188,191.5683510959895,192.43624689161678,159.0871700854758,176.1260935825529,178.27196106012013,175.20293692518948,174.13641567669336,176.09029731844961,176.681108830599,80.65669988169735,113.40228450382192,89.85828149471634,156.30248728197193,122.62369988095391,157.1969925047599,136.98353573740184,161.0294954394699,160.75298782266825,161.27710413327083,171.94610475016188,167.3030914909621,131.57408914130139,90.78008488735682,144.8186511438959,96.63299134565419,134.8080742028718,112.88134039416302,159.99990951487112,142.639424775114,170.49568532464454,175.5996335899896,169.45669035220556,176.681108830599,203.3459701864898,146.89550306178936,86.80315506323775,109.42024826477797,121.49400131601784,147.9630501822378,43.96304350596933,150.41442317411318,111.85634253391171,109.391392134133,116.25223883062996,155.15348529646337,44.545202193513276,135.20382240086403,89.53164130080776,110.33486056781035,123.64469178961475,165.12440535865605,44.146552034261695,155.9482499107235,80.79327461839624,96.88987695718417,84.14124540100568,84.01949018383492,43.490977206928974,74.84153906659937,82.7719540675421,95.34222718251758,105.51930116517697,101.6966575826166,44.02433248852463,94.74484174302079,85.94685391151381,107.16216666768928,113.92621997712018,129.96880095456643,43.82935400455268,115.75545735384883,81.7929627865165,93.70217271773797,94.55894260505251,100.32602838150325,44.0554289200509,85.49392366782342,83.99206736442903,93.66601280643587,110.54628886599735,104.2226956224405,43.60849091036683,104.57419806314282,86.41670137328157,107.75170722571976,112.22078173017665,132.51016629223986,43.92664663856168,112.79412899977895
183.15085531470527,158.70443336805388,155.23699918018806,165.17751954110946,149.5794089328993,185.37539044223473,166.8121741221864,187.91295105852132,192.63898086450777,187.3163036565787,205.11546902296686,209.12210494053886,200.71417841093543,198.3279048818154,196.77964176873044,199.41658264164002,187.25285932718248,197.9120272802148,169.94616282161707,186.85405408339597,189.70311894330004,178.17155748358934,185.5462747975631,179.90111237720637,188.26693904661988,85.70904274458347,146.58283900766614,91.45065300952045,135.43149317529776,123.10470008660722,159.64333958658455,145.58777722439675,171.44980506289843,164.4581348143597,163.6454766966652,173.93454328826212,175.9117562773395,194.18186811872187,83.1543064822546,159.00939849949125,97.45296510028516,167.46706001029065,118.79549055594865,158.74541896079504,151.54188267503096,180.77193149135334,177.38977400229456,179.05594483347338,188.26693904661988,176.14498502291988,193.4022304509524,89.25891363469172,106.37717817944775,121.86809988154528,165.9056945374774,44.30489295571266,146.12439967131044,112.19192617788408,110.10643870351393,122.6714648701403,164.87704839894596,44.63861068129604,150.97035649430183,90.12376716275352,111.02677988114621,127.89437908907628,174.1973372942075,44.29006030168762,166.82400497820566,85.59814218312631,94.42890483764441,97.34338780322831,91.80914592446759,44.11139174946657,70.67088683530804,85.4828234642429,95.57176924029547,113.79883487157667,108.66063168807588,44.647031147914454,100.17879597470132,86.12152724664381,107.30587028851272,118.85677364994946,136.66884355333838,44.03151230102199,123.44915194033494,79.02977195752459,100.48471388509138,92.6826165127477,84.1292689651516,43.648444001608226,92.66632567984654,87.26879546766513,98.70715880133514,109.73254415646454,114.55463387467728,44.31445995747618,103.0486729787742,85.83724900756033,107.74877730637927,117.29601710782396,138.5526535471757,43.940137911325444,120.17631747710044
162.13649108711397,140.5865585085715,148.19508547927396,146.3112918246349,155.6435303307627,164.3843046965319,175.3178649623375,210.55870191258418,176.96635644641808,167.27945184963917,210.08885582546384,213.6252804568941,208.0378482628716,206.57318135179688,204.47690229588298,207.28111667966354,195.00325516321374,205.70723732730957,177.88307262167186,195.09491941827702,198.4822608086535,187.4092082075382,194.3493791649824,189.63275271938832,197.2708591735652,84.01620041648435,121.86492784372076,92.37990131901122,151.28772682209294,135.61231856957122,167.60407794743818,150.93583761354944,179.43378548355346,172.44105721962976,171.78762809973028,182.13794822411901,182.86419862702212,165.5908120645986,78.98465442805661,170.85349213232809,101.07477133433608,173.30546374910122,125.86410239171418,183.73904295327156,158.03278633640082,188.52671304062096,185.9203405012347,186.17459003450537,197.2708591735652,209.42279290950663,152.38342397576815,87.50208557639772,109.20283589556102,128.71773844322277,160.47512716446224,43.94096870941387,158.48030021603267,111.63210706690755,109.93614928429484,124.88836950375845,166.9750101566734,44.55156910060721,151.76472860726145,89.42231590574939,109.95987288362838,129.81595610158354,178.12395707265293,44.26039854857627,174.94154174682066,82.08336159303084,99.97764568835001,97.81871060229184,86.79433625211756,43.22849538943788,78.71950932116442,84.18437636721951,100.65944132398096,109.0103709135338,112.06479975603831,44.11919111753275,105.23645802481848,86.61615097319368,108.26550257554948,121.52554920358631,140.15996813857083,43.97960612095551,123.38892247022905,83.17602147650373,97.4127641830533,106.66972550717894,103.11687937866864,44.19473352679255,89.88632485671975,85.20742541936478,98.23670298747754,112.03468404017964,113.49181277161883,43.758626435471385,108.97909395850027,86.45080765974038,108.51932586431634,121.39741608287002,142.1117161344662,44.00552509675349,125.8218967926942
177.62442085915794,126.11744871201165,159.68623032591006,195.8669675305325,160.34039433230336,191.6988752939884,182.20941294686747,195.5479569975149,211.5221775393109,151.23408106334094,214.46019140540074,217.36867754907323,211.1528582417602,212.70576843922368,210.4781754816085,213.46139678406016,198.2929734200164,208.45984773622774,184.74487925990783,201.3105074373511,205.20273999420286,195.05245294215698,201.47148451441237,197.01218288822923,204.10299989974075,79.57157466061588,165.22258598432288,95.39799264045104,169.59324976718247,137.44873719443729,174.3105704415736,156.47699143611953,185.89036630690194,178.83699243114123,178.47847427365988,188.64732528894777,185.8316589924356,148.69022940353784,92.37827722636739,158.60257935428388,108.58349008914666,163.96119931862836,132.0734509071892,175.5773502391939,161.65329056148593,194.88268504955934,192.41529060732086,191.95747412266,204.10299989974075,213.45932961889716,195.9698617244812,88.61938494877197,107.86281974666521,126.50478137219815,167.45977962270547,44.20955899721259,156.3410349957669,112.04184049457126,110.48424377827199,129.30108504502067,173.5075234955342,44.63232747305393,164.2373768996402,89.48770068004144,110.87226956020304,132.58247651943736,186.71059607883802,44.37233497559326,181.22670680615516,86.43109540788471,97.99433282382483,100.2272429405602,100.98431139819678,44.29681068628457,84.88650664391717,86.01792352742511,100.15156119191782,119.9214191806201,121.12818865045007,44.5902980255639,113.64787058475082,86.65946189813563,107.79496428426867,124.97379584587456,143.05559648234765,44.13408343547857,134.11426295933092,82.04857303366323,102.58508270054608,103.98419392908733,100.69382479734884,43.78455782431594,97.33730109108106,87.03739198906557,101.83592991736029,115.24511503004192,120.95940738669778,44.24013659731266,107.48230416084614,86.73850675488131,108.3397859042235,126.55317225920423,143.51882321015643,44.107858448604745,131.99986440615098
179.83174324533925,195.42718146749326,158.35619994816022,202.10105624159618,164.44293240513616,194.77169139262097,186.4004950352363,195.45600810252614,206.14503257932182,205.96089947195074,212.8501420256925,216.00886105151656,216.36007026327667,214.74759135214683,212.24853628492113,215.241352352855,204.59622137582107,213.62717532588263,190.21130372880833,200.93220353595547,204.13434219391186,201.068967590143,207.53564919383058,202.6865869917178,209.91081666180634,79.95948243781523,160.217336639508,103.49184648149938,154.2365534090057,140.8399799805082,179.6750574562203,160.14015399890434,190.0523453971159,184.06237025533915,183.49657382231337,193.58479648232253,204.0414316402815,191.79936063875996,96.9994879519325,169.0533644423122,109.16444413917723,182.2788713924569,133.2853568901927,200.81649727290886,166.05503801455197,199.7313547626926,197.9594002435167,196.75583515447005,209.91081666180634,190.76466782174816,218.91234807575958,87.52500328598062,110.08619139077747,131.1185063164622,162.51322807896082,44.07031765134255,164.86646128589072,110.98018347471478,110.16464302125627,129.28506202034583,174.8808732189434,44.45585861068858,162.50306827962092,89.04898565970339,110.76870688174473,133.6619028076544,188.2665383120764,44.21545931029982,180.43137163126895,83.8014903185752,102.48378441799322,96.68874981371576,95.10222601130303,43.86565064848294,85.4629096507961,84.50849453873347,102.52548379905302,114.9304418866556,115.85756708148516,44.130131725980455,113.8002268938592,87.09919472280221,108.63117712197354,128.1166846541212,147.00087870411488,44.07391250948178,131.2019973404861,84.82587062637846,100.16398423497776,110.88840934934166,97.82394021695968,44.19535894636463,92.33238646652946,85.98397221693179,99.19105903840286,121.33760892447762,122.15737982378086,43.93971494795798,114.1832484852038,86.93854563983624,108.53945591715146,126.45084217161293,147.88198677546026,44.11175500360024,134.34590024500608
