g2-xl6-p1-t1,g2-xl5-p1-t1,g2-xl4-p1,g2-xl4-p1-t1,g2-xl3-p1,g2-xl3-p1-t1,g2-xl2-p1,g2-xl2-p1-t1,g2-xl1-xl1-xl1-p1-t6,g2-xl1-xl1-xl1-p1-t3,g2-xl1-xl1-p1-t6,g2-xl1-xl1-p1-t3,g2-xl1-p2-t6,g2-xl1-p2-t5,g2-xl1-p2-t4,g2-xl1-p2-t3,g2-xl1-p2-t2,g2-xl1-p2-t1,g2-xl1-p1,g2-xl1-p1-t6,g2-xl1-p1-t5,g2-xl1-p1-t4,g2-xl1-p1-t3,g2-xl1-p1-t2,g2-xl1-p1-t1,g2-m4-p1,g2-m4-p1-t1,g2-m3-p1,g2-m3-p1-t1,g2-m2-p1,g2-m2-p1-t1,g2-m1-p1,g2-m1-p1-t4,g2-m1-p1-t3,g2-m1-p1-t2,g2-m1-p1-t1,g2-m1-m1-p1-t1,g2-m1-m1-m1-p1-t1,g2-l4-p1,g2-l4-p1-t1,g2-l3-p1,g2-l3-p1-t1,g2-l2-p1,g2-l2-p1-t1,g2-l1-p1,g2-l1-p1-t4,g2-l1-p1-t3,g2-l1-p1-t2,g2-l1-p1-t1,g2-l1-l1-p1-t1,g2-l1-l1-l1-p1-t1,g1-xl4-p5,g1-xl4-p4,g1-xl4-p3,g1-xl4-p2,g1-xl4-p10,g1-xl4-p1,g1-xl3-p5,g1-xl3-p4,g1-xl3-p3,g1-xl3-p2,g1-xl3-p10,g1-xl3-p1,g1-xl2-p5,g1-xl2-p4,g1-xl2-p3,g1-xl2-p2,g1-xl2-p10,g1-xl2-p1,g1-m4-p5,g1-m4-p4,g1-m4-p3,g1-m4-p2,g1-m4-p10,g1-m4-p1,g1-m3-p5,g1-m3-p4,g1-m3-p3,g1-m3-p2,g1-m3-p10,g1-m3-p1,g1-m2-p5,g1-m2-p4,g1-m2-p3,g1-m2-p2,g1-m2-p10,g1-m2-p1,g1-l4-p5,g1-l4-p4,g1-l4-p3,g1-l4-p2,g1-l4-p10,g1-l4-p1,g1-l3-p5,g1-l3-p4,g1-l3-p3,g1-l3-p2,g1-l3-p10,g1-l3-p1,g1-l2-p5,g1-l2-p4,g1-l2-p3,g1-l2-p2,g1-l2-p10,g1-l2-p1
607.0,96943.0,73160.0,90857.0,71799.0,7372.0,74855.0,87480.0,607.0,607.0,84774.0,83079.0,168599.0,168262.0,167599.0,169611.0,167924.0,164539.0,78241.0,83754.0,83761.0,84435.0,82747.0,81395.0,83422.0,80618.0,607.0,43663.0,106404.0,55869.0,72269.0,67392.0,78014.0,77338.0,73622.0,75308.0,21906.0,7033.0,23324.0,97615.0,48071.0,91533.0,57562.0,33397.0,68753.0,81396.0,82073.0,80719.0,83422.0,241600.0,21569.0,151464.0,151124.0,151127.0,150787.0,151467.0,62307.0,151468.0,151468.0,151126.0,136547.0,151462.0,67735.0,151465.0,151468.0,151125.0,151124.0,151465.0,73837.0,151466.0,151129.0,123667.0,71464.0,151467.0,28069,151468.0,151124.0,125023.0,99601.0,151467.0,49087.0,151125.0,151126.0,151122.0,111801.0,151466.0,61292.0,151126.0,151127.0,107738.0,86374.0,151126.0,62309.0,151465.0,151125.0,145698.0,67395.0,151462.0,44342.0,151130.0,151126.0,151126.0,117566.0,151465.0,58919.0
184145.0,7034.0,69431.0,607.0,70109.0,136486.0,73833.0,83761.0,152032.0,607.0,84098.0,86801.0,170624.0,169273.0,163232.0,167917.0,169606.0,166566.0,78579.0,82748.0,85112.0,83424.0,81393.0,83084.0,83422.0,49088.0,106742.0,40953.0,109449.0,58239.0,77338.0,64344.0,78354.0,71255.0,75649.0,79030.0,73620.0,98971.0,50442.0,62803.0,49766.0,12441.0,57902.0,115192.0,69431.0,82071.0,80719.0,81396.0,83422.0,95253.0,79370.0,151466.0,151467.0,151125.0,146041.0,34512.0,63664.0,151465.0,151462.0,151128.0,130787.0,34508.0,73500.0,151464.0,151465.0,151125.0,151123.0,34509.0,76550.0,151463.0,151127.0,141974.0,34849.0,151465.0,43326,151469.0,151128.0,139264.0,100956.0,151462.0,46716.0,151467.0,151464.0,151130.0,116890.0,34509.0,49086.0,151126.0,151469.0,106040.0,138245.0,151464.0,56207.0,151465.0,151462.0,123669.0,82990.0,151465.0,66038.0,151467.0,151469.0,151125.0,116890.0,34511.0,54851.0
98293.0,607.0,61971.0,104039.0,70445.0,97281.0,77563.0,94578.0,58071.0,244640.0,84433.0,84438.0,169273.0,169946.0,165250.0,167919.0,167922.0,167580.0,75872.0,84099.0,85448.0,81393.0,84100.0,82745.0,83757.0,607.0,63478.0,38577.0,607.0,59934.0,74295.0,66381.0,78012.0,73285.0,78013.0,78693.0,81393.0,115867.0,50784.0,3992.0,48410.0,118237.0,61290.0,71932.0,68413.0,82407.0,81396.0,79029.0,83757.0,607.0,608.0,151468.0,151461.0,151127.0,109770.0,151462.0,69428.0,151464.0,151469.0,151124.0,147733.0,151464.0,67736.0,151460.0,151467.0,151465.0,151121.0,151465.0,75193.0,151465.0,151127.0,105363.0,91464.0,151465.0,47054,151467.0,151127.0,144005.0,97227.0,151464.0,44680.0,151468.0,151466.0,151127.0,120957.0,151465.0,57899.0,151466.0,151466.0,134174.0,607.0,151468.0,44003.0,151468.0,151465.0,129094.0,109768.0,151464.0,53833.0,151466.0,151463.0,151127.0,115194.0,151466.0,55190.0
607.0,2640.0,62306.0,123302.0,70782.0,1964.0,77906.0,82408.0,71595.0,607.0,83422.0,84436.0,166903.0,170289.0,165251.0,169611.0,170624.0,169946.0,77905.0,83758.0,83761.0,83760.0,83085.0,82072.0,84775.0,56884.0,607.0,48411.0,106066.0,60613.0,74635.0,64680.0,78691.0,72268.0,77341.0,71932.0,74973.0,13117.0,24341.0,115532.0,43663.0,102015.0,52477.0,28666.0,69769.0,81734.0,82410.0,79026.0,84775.0,243627.0,164201.0,151465.0,151466.0,151126.0,132140.0,607.0,81973.0,151466.0,151466.0,151464.0,126380.0,607.0,67731.0,151465.0,151466.0,151461.0,151128.0,607.0,76551.0,151466.0,151466.0,128753.0,88754.0,33155.0,27392,151463.0,151464.0,151129.0,90448.0,607.0,47053.0,151465.0,151464.0,151125.0,110450.0,607.0,54173.0,151465.0,151461.0,115874.0,607.0,151464.0,32477.0,151463.0,151464.0,144345.0,91463.0,607.0,46030.0,151466.0,151466.0,151466.0,117229.0,607.0,59598.0
135474.0,291629.0,69431.0,89509.0,66718.0,133110.0,77227.0,69563.0,112487.0,607.0,83086.0,84775.0,170624.0,170285.0,165585.0,170287.0,169610.0,168597.0,78581.0,83082.0,83761.0,84435.0,82410.0,82070.0,84772.0,607.0,607.0,50444.0,112491.0,54847.0,76323.0,66719.0,72606.0,76325.0,76660.0,74972.0,90181.0,107418.0,39596.0,98633.0,48071.0,607.0,58238.0,128712.0,68076.0,81055.0,80044.0,81394.0,84772.0,97280.0,608.0,151806.0,151464.0,151465.0,141975.0,151461.0,58241.0,151805.0,151807.0,151467.0,141636.0,151463.0,70109.0,151806.0,151805.0,151467.0,151464.0,151467.0,77229.0,151803.0,151465.0,87055.0,71124.0,151464.0,35189,151800.0,151465.0,125702.0,96549.0,151467.0,48746.0,151463.0,151465.0,151128.0,112481.0,151467.0,60613.0,151467.0,151465.0,144346.0,149774.0,607.0,607.0,151806.0,151466.0,151123.0,90781.0,151465.0,36545.0,151467.0,151469.0,151460.0,117908.0,151464.0,53832.0
100323.0,99649.0,60953.0,607.0,68412.0,93561.0,76889.0,81734.0,114519.0,246333.0,83761.0,83763.0,170625.0,169269.0,166596.0,167240.0,171297.0,169274.0,76210.0,83759.0,83421.0,82070.0,84773.0,80379.0,82408.0,70449.0,162509.0,36545.0,607.0,63326.0,70241.0,63666.0,74295.0,78354.0,77001.0,71594.0,79703.0,117560.0,35186.0,72608.0,62309.0,120601.0,58241.0,32383.0,71126.0,80383.0,81734.0,80041.0,82408.0,68213.0,229091.0,32139.0,151462.0,151465.0,128417.0,607.0,60612.0,151806.0,151803.0,151466.0,136551.0,607.0,65020.0,32138.0,151802.0,151468.0,151463.0,607.0,77226.0,151799.0,151462.0,107396.0,50781.0,607.0,33834,151805.0,151463.0,137907.0,106379.0,607.0,56883.0,151462.0,151464.0,151463.0,113839.0,607.0,57562.0,151463.0,151804.0,89431.0,607.0,151465.0,65359.0,151809.0,151467.0,131803.0,98921.0,607.0,50783.0,151465.0,151461.0,151466.0,119601.0,607.0,55528.0
607.0,5006.0,72483.0,102350.0,71125.0,9737.0,76887.0,136825.0,607.0,607.0,85114.0,84437.0,170623.0,168596.0,165583.0,169946.0,169269.0,169949.0,79261.0,82745.0,84099.0,83425.0,84097.0,82747.0,83758.0,607.0,117895.0,40613.0,99310.0,61630.0,75306.0,66719.0,73958.0,75310.0,77339.0,76323.0,60436.0,607.0,24002.0,607.0,34850.0,93561.0,58578.0,117560.0,65697.0,81053.0,81732.0,78352.0,83758.0,80381.0,608.0,151805.0,151802.0,151465.0,145366.0,151127.0,69769.0,151805.0,151807.0,151462.0,139938.0,151126.0,69769.0,151806.0,151803.0,151462.0,151467.0,151127.0,76884.0,151807.0,151464.0,112480.0,93498.0,151465.0,47730,151808.0,151467.0,126381.0,79261.0,151466.0,46376.0,151804.0,151802.0,151468.0,119938.0,151125.0,59598.0,151462.0,151802.0,117566.0,149769.0,607.0,607.0,151807.0,151809.0,133499.0,101293.0,151458.0,46715.0,151808.0,151806.0,151465.0,113154.0,151128.0,55868.0
129053.0,607.0,58577.0,120601.0,68414.0,138849.0,76890.0,84096.0,116884.0,607.0,83424.0,84436.0,168597.0,168596.0,166258.0,168257.0,169949.0,169610.0,77565.0,81055.0,85448.0,82066.0,82410.0,81734.0,82409.0,56544.0,73282.0,50442.0,110119.0,60954.0,71254.0,62983.0,78691.0,75649.0,78015.0,74974.0,74632.0,115870.0,48069.0,110119.0,42985.0,607.0,55867.0,41845.0,70448.0,81393.0,81394.0,80381.0,82409.0,80382.0,129728.0,607.0,151805.0,151463.0,124347.0,607.0,72820.0,151803.0,151805.0,151467.0,137227.0,607.0,71125.0,607.0,30782.0,151803.0,151468.0,607.0,73836.0,151803.0,151465.0,121637.0,72482.0,607.0,38918,151803.0,151806.0,151461.0,101971.0,607.0,54511.0,151800.0,151804.0,151466.0,120960.0,607.0,55528.0,151800.0,151802.0,110109.0,149770.0,151467.0,87736.0,151803.0,151804.0,130108.0,100956.0,607.0,44002.0,151802.0,151803.0,151466.0,115192.0,607.0,55869.0
103027.0,1626.0,70110.0,90184.0,65357.0,96605.0,75869.0,29679.0,18525.0,240928.0,84100.0,83084.0,170626.0,170285.0,164241.0,166567.0,169611.0,167245.0,76545.0,83421.0,85115.0,83085.0,84776.0,81058.0,81732.0,57220.0,8048.0,35867.0,19202.0,53834.0,73960.0,67393.0,75310.0,77676.0,77002.0,72944.0,131755.0,118568.0,607.0,92548.0,55190.0,132767.0,58920.0,80382.0,67734.0,80043.0,81056.0,79705.0,81732.0,82748.0,608.0,151468.0,151806.0,151467.0,146381.0,151127.0,63666.0,152139.0,152141.0,151798.0,131127.0,151127.0,66036.0,151466.0,151801.0,151805.0,151461.0,151127.0,79601.0,151804.0,151805.0,104686.0,77564.0,151467.0,44342,151807.0,151804.0,129091.0,99601.0,151464.0,44002.0,31460.0,151802.0,151466.0,117229.0,151122.0,55190.0,151806.0,151804.0,141297.0,607.0,607.0,52816.0,151806.0,151804.0,148077.0,104688.0,151464.0,46375.0,607.0,151805.0,151804.0,116889.0,151125.0,58920.0
607.0,284190.0,69768.0,607.0,69770.0,607.0,74515.0,83084.0,209152.0,607.0,84775.0,86803.0,168594.0,167918.0,164242.0,167917.0,168931.0,167922.0,78919.0,80377.0,84435.0,82747.0,83086.0,81396.0,83084.0,42308.0,78688.0,40273.0,83084.0,56545.0,77677.0,62987.0,74972.0,75985.0,76326.0,75986.0,82745.0,607.0,75529.0,25623.0,49088.0,90858.0,60276.0,57055.0,70109.0,81392.0,83423.0,79704.0,83084.0,607.0,608.0,607.0,151805.0,151798.0,127395.0,607.0,65362.0,29427.0,29426.0,151804.0,138925.0,607.0,68075.0,607.0,607.0,151806.0,151806.0,607.0,75872.0,152144.0,151804.0,126378.0,76550.0,607.0,30782,152144.0,151801.0,138245.0,95193.0,607.0,43664.0,151804.0,151807.0,151801.0,118247.0,607.0,59256.0,151806.0,151806.0,108751.0,132143.0,151126.0,37901.0,152143.0,151801.0,137567.0,93157.0,607.0,57564.0,151804.0,151801.0,151802.0,117905.0,607.0,58581.0
