g1-xl4-p5,g1-xl4-p4,g1-xl4-p3,g1-xl4-p2,g1-xl4-p10,g1-xl4-p1,g1-xl3-p5,g1-xl3-p4,g1-xl3-p3,g1-xl3-p2,g1-xl3-p10,g1-xl3-p1,g1-xl2-p5,g1-xl2-p4,g1-xl2-p3,g1-xl2-p2,g1-xl2-p10,g1-xl2-p1,g1-m4-p5,g1-m4-p4,g1-m4-p3,g1-m4-p2,g1-m4-p10,g1-m4-p1,g1-m3-p5,g1-m3-p4,g1-m3-p3,g1-m3-p2,g1-m3-p10,g1-m3-p1,g1-m2-p5,g1-m2-p4,g1-m2-p3,g1-m2-p2,g1-m2-p10,g1-m2-p1,g1-l4-p5,g1-l4-p4,g1-l4-p3,g1-l4-p2,g1-l4-p10,g1-l4-p1,g1-l3-p5,g1-l3-p4,g1-l3-p3,g1-l3-p2,g1-l3-p10,g1-l3-p1,g1-l2-p5,g1-l2-p4,g1-l2-p3,g1-l2-p2,g1-l2-p10,g1-l2-p1
445.0,444.0,444.0,443.0,445.0,182.0,445.0,445.0,444.0,401.0,445.0,198.0,445.0,445.0,444.0,444.0,445.0,216.0,445.0,444.0,363.0,209.0,445.0,81,445.0,444.0,367.0,292.0,445.0,143.0,444.0,444.0,444.0,328.0,445.0,179.0,444.0,444.0,316.0,253.0,444.0,182.0,445.0,444.0,428.0,197.0,445.0,129.0,444.0,444.0,444.0,345.0,445.0,172.0
445.0,445.0,444.0,429.0,100.0,186.0,445.0,445.0,444.0,384.0,100.0,215.0,445.0,445.0,444.0,444.0,100.0,224.0,445.0,444.0,417.0,101.0,445.0,126,445.0,444.0,409.0,296.0,445.0,136.0,445.0,445.0,444.0,343.0,100.0,143.0,444.0,445.0,311.0,406.0,445.0,164.0,445.0,445.0,363.0,243.0,445.0,193.0,445.0,445.0,444.0,343.0,100.0,160.0
445.0,445.0,444.0,322.0,445.0,203.0,445.0,445.0,444.0,434.0,445.0,198.0,445.0,445.0,445.0,444.0,445.0,220.0,445.0,444.0,309.0,268.0,445.0,137,445.0,444.0,423.0,285.0,445.0,130.0,445.0,445.0,444.0,355.0,445.0,169.0,445.0,445.0,394.0,0.0,445.0,128.0,445.0,445.0,379.0,322.0,445.0,157.0,445.0,445.0,444.0,338.0,445.0,161.0
445.0,445.0,444.0,388.0,0.0,240.0,445.0,445.0,445.0,371.0,0.0,198.0,445.0,445.0,445.0,444.0,0.0,224.0,445.0,445.0,378.0,260.0,96.0,79,445.0,445.0,444.0,265.0,0.0,137.0,445.0,445.0,444.0,324.0,0.0,158.0,445.0,445.0,340.0,0.0,445.0,94.0,445.0,445.0,424.0,268.0,0.0,134.0,445.0,445.0,445.0,344.0,0.0,174.0
446.0,445.0,445.0,417.0,445.0,170.0,446.0,446.0,445.0,416.0,445.0,205.0,446.0,446.0,445.0,445.0,445.0,226.0,446.0,445.0,255.0,208.0,445.0,102,446.0,445.0,369.0,283.0,445.0,142.0,445.0,445.0,444.0,330.0,445.0,177.0,445.0,445.0,424.0,440.0,0.0,0.0,446.0,445.0,444.0,266.0,445.0,106.0,445.0,445.0,445.0,346.0,445.0,157.0
93.0,445.0,445.0,377.0,0.0,177.0,446.0,446.0,445.0,401.0,0.0,190.0,93.0,446.0,445.0,445.0,0.0,226.0,446.0,445.0,315.0,148.0,0.0,98,446.0,445.0,405.0,312.0,0.0,166.0,445.0,445.0,445.0,334.0,0.0,168.0,445.0,446.0,262.0,0.0,445.0,191.0,446.0,445.0,387.0,290.0,0.0,148.0,445.0,445.0,445.0,351.0,0.0,162.0
446.0,446.0,445.0,427.0,444.0,204.0,446.0,446.0,445.0,411.0,444.0,204.0,446.0,446.0,445.0,445.0,444.0,225.0,446.0,445.0,330.0,274.0,445.0,139,446.0,445.0,371.0,232.0,445.0,135.0,446.0,446.0,445.0,352.0,444.0,174.0,445.0,446.0,345.0,440.0,0.0,0.0,446.0,446.0,392.0,297.0,445.0,136.0,446.0,446.0,445.0,332.0,444.0,163.0
0.0,446.0,445.0,365.0,0.0,213.0,446.0,446.0,445.0,403.0,0.0,208.0,0.0,89.0,446.0,445.0,0.0,216.0,446.0,445.0,357.0,212.0,0.0,113,446.0,446.0,445.0,299.0,0.0,159.0,446.0,446.0,445.0,355.0,0.0,162.0,446.0,446.0,323.0,440.0,445.0,257.0,446.0,446.0,382.0,296.0,0.0,128.0,446.0,446.0,445.0,338.0,0.0,163.0
445.0,446.0,445.0,430.0,444.0,186.0,447.0,447.0,446.0,385.0,444.0,193.0,445.0,446.0,446.0,445.0,444.0,233.0,446.0,446.0,307.0,227.0,445.0,129,446.0,446.0,379.0,292.0,445.0,128.0,91.0,446.0,445.0,344.0,444.0,161.0,446.0,446.0,415.0,0.0,0.0,154.0,446.0,446.0,435.0,307.0,445.0,135.0,0.0,446.0,446.0,343.0,444.0,172.0
0.0,446.0,446.0,374.0,0.0,191.0,85.0,85.0,446.0,408.0,0.0,199.0,0.0,0.0,446.0,446.0,0.0,222.0,447.0,446.0,371.0,224.0,0.0,89,447.0,446.0,406.0,279.0,0.0,127.0,446.0,446.0,446.0,347.0,0.0,173.0,446.0,446.0,319.0,388.0,444.0,110.0,447.0,446.0,404.0,273.0,0.0,168.0,446.0,446.0,446.0,346.0,0.0,171.0
445.0,87.0,446.0,395.0,444.0,208.0,446.0,446.0,446.0,416.0,444.0,200.0,445.0,446.0,446.0,446.0,444.0,211.0,447.0,446.0,320.0,229.0,445.0,97,447.0,446.0,389.0,275.0,444.0,154.0,0.0,447.0,446.0,344.0,444.0,164.0,446.0,447.0,386.0,366.0,0.0,65.0,447.0,447.0,434.0,284.0,444.0,137.0,0.0,447.0,446.0,313.0,444.0,163.0
0.0,446.0,446.0,360.0,0.0,206.0,0.0,0.0,446.0,405.0,0.0,211.0,0.0,0.0,447.0,445.0,0.0,223.0,447.0,446.0,402.0,169.0,0.0,111,82.0,446.0,422.0,315.0,0.0,160.0,446.0,447.0,446.0,338.0,0.0,177.0,447.0,447.0,284.0,0.0,444.0,130.0,82.0,447.0,386.0,287.0,0.0,112.0,445.0,447.0,446.0,354.0,0.0,165.0
445.0,0.0,446.0,445.0,444.0,163.0,446.0,446.0,447.0,400.0,444.0,206.0,445.0,446.0,447.0,445.0,444.0,227.0,447.0,447.0,251.0,234.0,444.0,128,447.0,447.0,338.0,278.0,444.0,131.0,0.0,447.0,446.0,351.0,444.0,182.0,447.0,447.0,336.0,306.0,0.0,147.0,447.0,447.0,432.0,276.0,444.0,151.0,0.0,447.0,446.0,349.0,444.0,164.0
0.0,446.0,447.0,381.0,0.0,198.0,0.0,0.0,447.0,402.0,0.0,212.0,0.0,0.0,83.0,429.0,0.0,217.0,447.0,447.0,371.0,237.0,0.0,0,0.0,447.0,434.0,270.0,0.0,122.0,445.0,447.0,446.0,328.0,0.0,174.0,447.0,447.0,358.0,380.0,444.0,0.0,0.0,447.0,426.0,272.0,0.0,155.0,445.0,447.0,447.0,354.0,0.0,179.0
445.0,0.0,447.0,414.0,443.0,194.0,446.0,446.0,447.0,396.0,443.0,188.0,445.0,445.0,447.0,447.0,443.0,218.0,448.0,447.0,315.0,257.0,444.0,193,447.0,447.0,385.0,251.0,444.0,141.0,0.0,447.0,447.0,361.0,443.0,155.0,447.0,447.0,0.0,0.0,0.0,39.0,447.0,447.0,446.0,280.0,444.0,130.0,0.0,79.0,447.0,332.0,443.0,158.0
0.0,446.0,447.0,387.0,0.0,207.0,0.0,0.0,447.0,428.0,0.0,196.0,0.0,0.0,0.0,433.0,0.0,226.0,448.0,447.0,375.0,209.0,0.0,0,0.0,447.0,446.0,275.0,0.0,151.0,445.0,448.0,447.0,348.0,0.0,170.0,447.0,448.0,390.0,416.0,444.0,121.0,0.0,448.0,397.0,262.0,0.0,135.0,445.0,447.0,447.0,335.0,0.0,170.0
